"","rho","diff.2.5","diff.25","diff.50","diff.75","diff.97.5"
"58",0.59,-0.130489591907183,-0.0791021917916924,-0.054482317970445,-0.0315832468643188,0.018229328608027
"59",0.6,-0.131980205057507,-0.081360342546061,-0.054682737293884,-0.0324520387354945,0.0125018111097457
"60",0.61,-0.143595120261632,-0.088090420587775,-0.062981158192518,-0.0387272327594775,0.00921578512284381
"61",0.62,-0.140379431406257,-0.0897341465704705,-0.062228177875315,-0.0341722873691666,0.010057589368936
"62",0.63,-0.154202944162251,-0.0953730641106528,-0.063623127873867,-0.0367404834503115,0.0182291865994378
"63",0.64,-0.166604673859435,-0.0995369168874065,-0.0696800366947295,-0.0440181320396313,0.0217231638892109
"64",0.65,-0.173598030577219,-0.104424348323938,-0.0737031057520075,-0.0449064554516248,0.0121246876947114
"65",0.66,-0.173071775236071,-0.105928092392097,-0.075232048148726,-0.0439970484613625,0.0195771301821231
"66",0.67,-0.18107327853753,-0.113825258914179,-0.0815002540786215,-0.0483020000815263,0.011594130967886
"67",0.68,-0.191709512196737,-0.118546294359693,-0.085390485820844,-0.0514384309479277,0.0130234405590987
"68",0.69,-0.192046915345634,-0.122313984783313,-0.087772089155877,-0.0551811777617738,0.0146679254201133
"69",0.7,-0.204201733689924,-0.125759589921671,-0.087711334803487,-0.0527018678508875,0.00918478236698214
"70",0.71,-0.200413038964393,-0.130687617298869,-0.097391921486149,-0.0608037248651965,-0.000689579964934314
"71",0.72,-0.21739273710227,-0.137278815517151,-0.097931539836866,-0.061829118025597,0.00165372316413961
"72",0.73,-0.219745644102107,-0.142151621386542,-0.102380222531127,-0.0624668268628358,0.00778337079356075
"73",0.74,-0.234180411755944,-0.148911980879534,-0.109916271858195,-0.0687286461251495,0.00671951682808783
"74",0.75,-0.232279819832098,-0.159046733553828,-0.113920507467281,-0.071623556219504,0.0124684861177508
"75",0.76,-0.240782668002559,-0.158728331179218,-0.114415466073158,-0.0689307977636815,0.0180841132748808
"76",0.77,-0.254085592652827,-0.168211554172883,-0.120741773898017,-0.0770979659396613,0.0217263210278815
"77",0.78,-0.261152392471671,-0.176571928152413,-0.128808238431467,-0.0818619704017903,0.0361014524579904
"78",0.79,-0.287307980080863,-0.185975371758857,-0.129409432130286,-0.0860909224993782,0.0321883036851675
"79",0.8,-0.285837659053492,-0.197221470130542,-0.147420657567184,-0.0920173319940355,0.0284154633327837
"80",0.81,-0.302078460989594,-0.20447264696143,-0.152684999058125,-0.0928053804439835,0.0297846217562855
"81",0.82,-0.312800276878365,-0.210874678251519,-0.155382699859859,-0.100585518655744,0.0364052362784265
"82",0.83,-0.310266632653862,-0.220214018097438,-0.161137767423161,-0.097381089664684,0.0204242499633075
"83",0.84,-0.340674927153838,-0.232552381198229,-0.171775816584688,-0.10196017792709,0.0461947692680393
"84",0.85,-0.356670628163274,-0.235299307407551,-0.176447239829349,-0.109708447879317,0.024776039157608
"85",0.86,-0.36396419807362,-0.254418971491638,-0.181888102071394,-0.112645535188649,0.0439445006171113
"86",0.87,-0.387286224638389,-0.257559912870534,-0.19568793881956,-0.125457056040998,0.03556690991134
"87",0.88,-0.403902444671188,-0.281256068179382,-0.208001782679151,-0.129001974222356,0.0675216207105585
"88",0.89,-0.418470787987289,-0.29173480118222,-0.212330674318154,-0.12274765865051,0.0730587202491998
"89",0.9,-0.4420948055751,-0.299969629459909,-0.222640416660234,-0.135078178704371,0.0677191205377085
"90",0.91,-0.471823989094104,-0.327645464058468,-0.241702441742344,-0.136122649405311,0.112587306245081
"91",0.92,-0.488826562503738,-0.347996762837615,-0.248531358070061,-0.14154329704528,0.0872777341920535
"92",0.93,-0.511660872317713,-0.366375008095433,-0.272674705187562,-0.156999960680788,0.106484454681637
"93",0.94,-0.54925026991708,-0.377894406720265,-0.277584920089733,-0.157336049266533,0.152792068716476
"94",0.95,-0.570282497326653,-0.414428331509966,-0.292449348357666,-0.149324593250793,0.175886581824269
"95",0.96,-0.630296883696029,-0.430611567078391,-0.31536851324672,-0.167720183188506,0.20205847976785
"96",0.97,-0.647738265945961,-0.462126998205704,-0.338988889358579,-0.185159772358373,0.264904861772121
"97",0.98,-0.695979447091219,-0.502499842693447,-0.357744284381136,-0.186148305074722,0.394572871245875
